protocolSection_identificationModule_nctId,primary_study_duration_days,study_duration_days,study_eq_labels,url,study_duration_months,study_duration_years
NCT02927379,183.0,487.0,0,https://clinicaltrials.gov/study/NCT02927379,16.233333333333334,1.3527777777777779
NCT02393859,1345.0,2568.0,4,https://clinicaltrials.gov/study/NCT02393859,85.6,7.133333333333333
NCT03165149,791.0,1004.0,1,https://clinicaltrials.gov/study/NCT03165149,33.46666666666667,2.788888888888889
NCT01842893,243.0,243.0,0,https://clinicaltrials.gov/study/NCT01842893,8.1,0.6749999999999999
NCT01865747,720.0,2785.0,4,https://clinicaltrials.gov/study/NCT01865747,92.83333333333333,7.736111111111111
NCT01479283,2981.0,2981.0,4,https://clinicaltrials.gov/study/NCT01479283,99.36666666666666,8.280555555555555
NCT02518191,1960.0,1960.0,3,https://clinicaltrials.gov/study/NCT02518191,65.33333333333333,5.444444444444444
NCT02959749,792.0,883.0,1,https://clinicaltrials.gov/study/NCT02959749,29.433333333333334,2.452777777777778
NCT01440088,1552.0,1704.0,3,https://clinicaltrials.gov/study/NCT01440088,56.8,4.733333333333333
NCT02971891,470.0,555.0,0,https://clinicaltrials.gov/study/NCT02971891,18.5,1.5416666666666667
NCT02915744,1338.0,1338.0,2,https://clinicaltrials.gov/study/NCT02915744,44.6,3.716666666666667
NCT02373371,608.0,1164.0,2,https://clinicaltrials.gov/study/NCT02373371,38.8,3.233333333333333
NCT03830866,1070.0,1599.0,2,https://clinicaltrials.gov/study/NCT03830866,53.3,4.441666666666666
NCT03416179,777.0,1368.0,2,https://clinicaltrials.gov/study/NCT03416179,45.6,3.8000000000000003
NCT06227676,56.0,102.0,0,https://clinicaltrials.gov/study/NCT06227676,3.4,0.2833333333333333
NCT04056754,1337.0,1826.0,3,https://clinicaltrials.gov/study/NCT04056754,60.86666666666667,5.072222222222222
NCT01356680,2990.0,2992.0,4,https://clinicaltrials.gov/study/NCT01356680,99.73333333333333,8.311111111111112
NCT01521702,1158.0,1158.0,2,https://clinicaltrials.gov/study/NCT01521702,38.6,3.216666666666667
NCT01470677,1522.0,1522.0,2,https://clinicaltrials.gov/study/NCT01470677,50.733333333333334,4.227777777777778
NCT02753127,1427.0,1806.0,3,https://clinicaltrials.gov/study/NCT02753127,60.2,5.016666666666667
NCT05301517,383.0,401.0,0,https://clinicaltrials.gov/study/NCT05301517,13.366666666666667,1.113888888888889
NCT01998230,607.0,607.0,0,https://clinicaltrials.gov/study/NCT01998230,20.233333333333334,1.6861111111111111
NCT02112656,1552.0,1552.0,2,https://clinicaltrials.gov/study/NCT02112656,51.733333333333334,4.311111111111111
NCT03607539,1635.0,1635.0,3,https://clinicaltrials.gov/study/NCT03607539,54.5,4.541666666666667
NCT02813278,730.0,730.0,1,https://clinicaltrials.gov/study/NCT02813278,24.333333333333332,2.0277777777777777
NCT01665144,1226.0,3753.0,4,https://clinicaltrials.gov/study/NCT01665144,125.1,10.424999999999999
NCT04676334,716.0,716.0,1,https://clinicaltrials.gov/study/NCT04676334,23.866666666666667,1.988888888888889
NCT03593304,276.0,366.0,0,https://clinicaltrials.gov/study/NCT03593304,12.2,1.0166666666666666
NCT01861535,2802.0,2802.0,4,https://clinicaltrials.gov/study/NCT01861535,93.4,7.783333333333334
NCT02219529,153.0,184.0,0,https://clinicaltrials.gov/study/NCT02219529,6.133333333333334,0.5111111111111112
NCT01961609,1007.0,1007.0,1,https://clinicaltrials.gov/study/NCT01961609,33.56666666666667,2.7972222222222225
NCT01721876,560.0,3041.0,4,https://clinicaltrials.gov/study/NCT01721876,101.36666666666666,8.447222222222221
NCT01597908,682.0,2516.0,4,https://clinicaltrials.gov/study/NCT01597908,83.86666666666666,6.988888888888888
NCT02187744,533.0,533.0,0,https://clinicaltrials.gov/study/NCT02187744,17.766666666666666,1.4805555555555554
NCT02715596,1164.0,1349.0,2,https://clinicaltrials.gov/study/NCT02715596,44.96666666666667,3.7472222222222222
NCT01411176,243.0,274.0,0,https://clinicaltrials.gov/study/NCT01411176,9.133333333333333,0.7611111111111111
NCT01483144,1857.0,1977.0,3,https://clinicaltrials.gov/study/NCT01483144,65.9,5.491666666666667
NCT03439046,2138.0,2138.0,3,https://clinicaltrials.gov/study/NCT03439046,71.26666666666667,5.938888888888889
NCT03042416,1345.0,1434.0,2,https://clinicaltrials.gov/study/NCT03042416,47.8,3.983333333333333
NCT02106546,999.0,2050.0,3,https://clinicaltrials.gov/study/NCT02106546,68.33333333333333,5.694444444444444
NCT03669588,593.0,593.0,0,https://clinicaltrials.gov/study/NCT03669588,19.766666666666666,1.6472222222222221
NCT03629925,544.0,1098.0,1,https://clinicaltrials.gov/study/NCT03629925,36.6,3.0500000000000003
NCT01631136,1766.0,1978.0,3,https://clinicaltrials.gov/study/NCT01631136,65.93333333333334,5.4944444444444445
NCT01802814,3378.0,3378.0,4,https://clinicaltrials.gov/study/NCT01802814,112.6,9.383333333333333
NCT01829035,1581.0,1581.0,2,https://clinicaltrials.gov/study/NCT01829035,52.7,4.391666666666667
NCT02367794,1210.0,2078.0,3,https://clinicaltrials.gov/study/NCT02367794,69.26666666666667,5.772222222222222
NCT03976102,1232.0,1384.0,2,https://clinicaltrials.gov/study/NCT03976102,46.13333333333333,3.8444444444444446
NCT02171429,1935.0,2019.0,3,https://clinicaltrials.gov/study/NCT02171429,67.3,5.608333333333333
NCT01735175,334.0,610.0,0,https://clinicaltrials.gov/study/NCT01735175,20.333333333333332,1.6944444444444444
NCT02760433,960.0,979.0,1,https://clinicaltrials.gov/study/NCT02760433,32.63333333333333,2.7194444444444446
NCT01248585,1456.0,1642.0,3,https://clinicaltrials.gov/study/NCT01248585,54.733333333333334,4.561111111111111
NCT03498716,1838.0,1838.0,3,https://clinicaltrials.gov/study/NCT03498716,61.266666666666666,5.105555555555555
NCT03761225,2297.0,2297.0,4,https://clinicaltrials.gov/study/NCT03761225,76.56666666666666,6.3805555555555555
NCT02091765,1643.0,1826.0,3,https://clinicaltrials.gov/study/NCT02091765,60.86666666666667,5.072222222222222
NCT02268045,1096.0,1522.0,2,https://clinicaltrials.gov/study/NCT02268045,50.733333333333334,4.227777777777778
NCT03351361,1258.0,1623.0,3,https://clinicaltrials.gov/study/NCT03351361,54.1,4.508333333333334
NCT01875393,579.0,669.0,0,https://clinicaltrials.gov/study/NCT01875393,22.3,1.8583333333333334
NCT02124733,914.0,1705.0,3,https://clinicaltrials.gov/study/NCT02124733,56.833333333333336,4.736111111111112
NCT01675622,517.0,547.0,0,https://clinicaltrials.gov/study/NCT01675622,18.233333333333334,1.5194444444444446
NCT01564784,1314.0,1616.0,3,https://clinicaltrials.gov/study/NCT01564784,53.86666666666667,4.488888888888889
NCT02028507,1768.0,2496.0,4,https://clinicaltrials.gov/study/NCT02028507,83.2,6.933333333333334
NCT01829178,396.0,396.0,0,https://clinicaltrials.gov/study/NCT01829178,13.2,1.0999999999999999
NCT01854567,1149.0,1373.0,2,https://clinicaltrials.gov/study/NCT01854567,45.766666666666666,3.8138888888888887
NCT01252069,943.0,1096.0,1,https://clinicaltrials.gov/study/NCT01252069,36.53333333333333,3.0444444444444443
NCT03920293,791.0,1535.0,2,https://clinicaltrials.gov/study/NCT03920293,51.166666666666664,4.263888888888888
NCT03621280,1454.0,1454.0,2,https://clinicaltrials.gov/study/NCT03621280,48.46666666666667,4.038888888888889
NCT04887506,533.0,533.0,0,https://clinicaltrials.gov/study/NCT04887506,17.766666666666666,1.4805555555555554
NCT02819518,1784.0,2651.0,4,https://clinicaltrials.gov/study/NCT02819518,88.36666666666666,7.363888888888888
NCT03079219,1439.0,1439.0,2,https://clinicaltrials.gov/study/NCT03079219,47.96666666666667,3.9972222222222222
NCT01580228,852.0,852.0,1,https://clinicaltrials.gov/study/NCT01580228,28.4,2.3666666666666667
NCT01667419,1733.0,2118.0,3,https://clinicaltrials.gov/study/NCT01667419,70.6,5.883333333333333
NCT01269567,1461.0,1461.0,2,https://clinicaltrials.gov/study/NCT01269567,48.7,4.058333333333334
NCT03125902,812.0,1971.0,3,https://clinicaltrials.gov/study/NCT03125902,65.7,5.4750000000000005
NCT03764007,1713.0,1713.0,3,https://clinicaltrials.gov/study/NCT03764007,57.1,4.758333333333334
NCT03116698,272.0,506.0,0,https://clinicaltrials.gov/study/NCT03116698,16.866666666666667,1.4055555555555557
NCT01908621,1094.0,1682.0,3,https://clinicaltrials.gov/study/NCT01908621,56.06666666666667,4.6722222222222225
NCT02672527,1269.0,1269.0,2,https://clinicaltrials.gov/study/NCT02672527,42.3,3.525
NCT01444157,731.0,913.0,1,https://clinicaltrials.gov/study/NCT01444157,30.433333333333334,2.536111111111111
NCT03564171,1717.0,1717.0,3,https://clinicaltrials.gov/study/NCT03564171,57.233333333333334,4.769444444444445
NCT01355497,670.0,1066.0,1,https://clinicaltrials.gov/study/NCT01355497,35.53333333333333,2.961111111111111
NCT02765919,519.0,731.0,1,https://clinicaltrials.gov/study/NCT02765919,24.366666666666667,2.0305555555555554
NCT03102606,197.0,986.0,1,https://clinicaltrials.gov/study/NCT03102606,32.86666666666667,2.738888888888889
NCT02063685,3440.0,3440.0,4,https://clinicaltrials.gov/study/NCT02063685,114.66666666666667,9.555555555555555
NCT01953003,1399.0,1399.0,2,https://clinicaltrials.gov/study/NCT01953003,46.63333333333333,3.886111111111111
NCT01493921,1492.0,1492.0,2,https://clinicaltrials.gov/study/NCT01493921,49.733333333333334,4.144444444444445
NCT03280264,587.0,587.0,0,https://clinicaltrials.gov/study/NCT03280264,19.566666666666666,1.6305555555555555
NCT04466137,251.0,320.0,0,https://clinicaltrials.gov/study/NCT04466137,10.666666666666666,0.8888888888888888
NCT01818752,1103.0,1215.0,2,https://clinicaltrials.gov/study/NCT01818752,40.5,3.375
NCT03794388,1340.0,1340.0,2,https://clinicaltrials.gov/study/NCT03794388,44.666666666666664,3.722222222222222
NCT05614518,430.0,430.0,0,https://clinicaltrials.gov/study/NCT05614518,14.333333333333334,1.1944444444444444
NCT01454934,903.0,1606.0,3,https://clinicaltrials.gov/study/NCT01454934,53.53333333333333,4.461111111111111
NCT03635983,1155.0,1811.0,3,https://clinicaltrials.gov/study/NCT03635983,60.36666666666667,5.030555555555556
NCT01824342,1127.0,1127.0,1,https://clinicaltrials.gov/study/NCT01824342,37.56666666666667,3.130555555555556
NCT04870502,487.0,487.0,0,https://clinicaltrials.gov/study/NCT04870502,16.233333333333334,1.3527777777777779
NCT02993731,1186.0,1186.0,2,https://clinicaltrials.gov/study/NCT02993731,39.53333333333333,3.2944444444444443
NCT01640808,1644.0,1675.0,3,https://clinicaltrials.gov/study/NCT01640808,55.833333333333336,4.652777777777778
NCT01343277,1310.0,1766.0,3,https://clinicaltrials.gov/study/NCT01343277,58.86666666666667,4.905555555555556
NCT04554056,698.0,775.0,1,https://clinicaltrials.gov/study/NCT04554056,25.833333333333332,2.1527777777777777
NCT02861859,1117.0,1117.0,1,https://clinicaltrials.gov/study/NCT02861859,37.233333333333334,3.102777777777778
NCT03200704,601.0,633.0,0,https://clinicaltrials.gov/study/NCT03200704,21.1,1.7583333333333335
NCT01515189,1450.0,2008.0,3,https://clinicaltrials.gov/study/NCT01515189,66.93333333333334,5.577777777777778
NCT03053440,1973.0,1973.0,3,https://clinicaltrials.gov/study/NCT03053440,65.76666666666667,5.480555555555555
NCT02596126,1948.0,2099.0,3,https://clinicaltrials.gov/study/NCT02596126,69.96666666666667,5.830555555555556
NCT02008318,731.0,1280.0,2,https://clinicaltrials.gov/study/NCT02008318,42.666666666666664,3.5555555555555554
NCT04718324,576.0,607.0,0,https://clinicaltrials.gov/study/NCT04718324,20.233333333333334,1.6861111111111111
NCT04032119,1086.0,1117.0,1,https://clinicaltrials.gov/study/NCT04032119,37.233333333333334,3.102777777777778
NCT01544179,781.0,2806.0,4,https://clinicaltrials.gov/study/NCT01544179,93.53333333333333,7.794444444444444
NCT03525210,515.0,833.0,1,https://clinicaltrials.gov/study/NCT03525210,27.766666666666666,2.3138888888888887
NCT01651182,337.0,337.0,0,https://clinicaltrials.gov/study/NCT01651182,11.233333333333333,0.936111111111111
NCT02421588,1260.0,1260.0,2,https://clinicaltrials.gov/study/NCT02421588,42.0,3.5
NCT03453424,679.0,699.0,1,https://clinicaltrials.gov/study/NCT03453424,23.3,1.9416666666666667
NCT02961257,1672.0,1672.0,3,https://clinicaltrials.gov/study/NCT02961257,55.733333333333334,4.644444444444445
NCT02631876,1035.0,1400.0,2,https://clinicaltrials.gov/study/NCT02631876,46.666666666666664,3.888888888888889
NCT02788279,612.0,904.0,1,https://clinicaltrials.gov/study/NCT02788279,30.133333333333333,2.511111111111111
NCT03038100,1798.0,1983.0,3,https://clinicaltrials.gov/study/NCT03038100,66.1,5.508333333333333
NCT01384877,2192.0,2588.0,4,https://clinicaltrials.gov/study/NCT01384877,86.26666666666667,7.188888888888889
NCT02853474,1887.0,2252.0,4,https://clinicaltrials.gov/study/NCT02853474,75.06666666666666,6.2555555555555555
NCT01590966,2350.0,2497.0,4,https://clinicaltrials.gov/study/NCT01590966,83.23333333333333,6.936111111111111
NCT01884623,2897.0,2897.0,4,https://clinicaltrials.gov/study/NCT01884623,96.56666666666666,8.047222222222222
NCT03137121,730.0,1161.0,2,https://clinicaltrials.gov/study/NCT03137121,38.7,3.225
NCT01674634,303.0,303.0,0,https://clinicaltrials.gov/study/NCT01674634,10.1,0.8416666666666667
NCT02609321,274.0,396.0,0,https://clinicaltrials.gov/study/NCT02609321,13.2,1.0999999999999999
NCT03088813,1385.0,1919.0,3,https://clinicaltrials.gov/study/NCT03088813,63.96666666666667,5.330555555555556
NCT03117816,1728.0,2048.0,3,https://clinicaltrials.gov/study/NCT03117816,68.26666666666667,5.688888888888889
NCT03123939,1268.0,1268.0,2,https://clinicaltrials.gov/study/NCT03123939,42.266666666666666,3.522222222222222
NCT02128061,1557.0,2345.0,4,https://clinicaltrials.gov/study/NCT02128061,78.16666666666667,6.513888888888889
NCT01411189,243.0,274.0,0,https://clinicaltrials.gov/study/NCT01411189,9.133333333333333,0.7611111111111111
NCT03150875,2000.0,2000.0,3,https://clinicaltrials.gov/study/NCT03150875,66.66666666666667,5.555555555555556
NCT04425291,466.0,466.0,0,https://clinicaltrials.gov/study/NCT04425291,15.533333333333333,1.2944444444444445
NCT03061812,1037.0,1037.0,1,https://clinicaltrials.gov/study/NCT03061812,34.56666666666667,2.880555555555556
NCT02163694,1723.0,3479.0,4,https://clinicaltrials.gov/study/NCT02163694,115.96666666666667,9.66388888888889
NCT02853305,1322.0,2191.0,3,https://clinicaltrials.gov/study/NCT02853305,73.03333333333333,6.086111111111111
NCT03414983,1077.0,1772.0,3,https://clinicaltrials.gov/study/NCT03414983,59.06666666666667,4.9222222222222225
NCT01901692,1271.0,1494.0,2,https://clinicaltrials.gov/study/NCT01901692,49.8,4.1499999999999995
NCT02435433,969.0,2314.0,4,https://clinicaltrials.gov/study/NCT02435433,77.13333333333334,6.427777777777778
NCT01578655,1430.0,1430.0,2,https://clinicaltrials.gov/study/NCT01578655,47.666666666666664,3.972222222222222
NCT01534208,518.0,518.0,0,https://clinicaltrials.gov/study/NCT01534208,17.266666666666666,1.4388888888888889
NCT02855944,1373.0,2025.0,3,https://clinicaltrials.gov/study/NCT02855944,67.5,5.625
NCT01862874,1525.0,1525.0,2,https://clinicaltrials.gov/study/NCT01862874,50.833333333333336,4.236111111111112
NCT01509612,2737.0,2737.0,4,https://clinicaltrials.gov/study/NCT01509612,91.23333333333333,7.602777777777778
NCT02673151,342.0,707.0,1,https://clinicaltrials.gov/study/NCT02673151,23.566666666666666,1.9638888888888888
NCT02821169,1522.0,1522.0,2,https://clinicaltrials.gov/study/NCT02821169,50.733333333333334,4.227777777777778
NCT01539512,548.0,730.0,1,https://clinicaltrials.gov/study/NCT01539512,24.333333333333332,2.0277777777777777
NCT01739582,516.0,516.0,0,https://clinicaltrials.gov/study/NCT01739582,17.2,1.4333333333333333
NCT03413579,1582.0,1919.0,3,https://clinicaltrials.gov/study/NCT03413579,63.96666666666667,5.330555555555556
NCT04187352,1023.0,1023.0,1,https://clinicaltrials.gov/study/NCT04187352,34.1,2.841666666666667
NCT01694277,3166.0,3166.0,4,https://clinicaltrials.gov/study/NCT01694277,105.53333333333333,8.794444444444444
NCT05197257,197.0,197.0,0,https://clinicaltrials.gov/study/NCT05197257,6.566666666666666,0.5472222222222222
NCT01926197,2969.0,3334.0,4,https://clinicaltrials.gov/study/NCT01926197,111.13333333333334,9.261111111111111
NCT01538628,912.0,912.0,1,https://clinicaltrials.gov/study/NCT01538628,30.4,2.533333333333333
NCT04951245,516.0,548.0,0,https://clinicaltrials.gov/study/NCT04951245,18.266666666666666,1.5222222222222221
NCT03215797,91.0,91.0,0,https://clinicaltrials.gov/study/NCT03215797,3.033333333333333,0.25277777777777777
NCT02143388,1579.0,3049.0,4,https://clinicaltrials.gov/study/NCT02143388,101.63333333333334,8.469444444444445
NCT01433562,458.0,458.0,0,https://clinicaltrials.gov/study/NCT01433562,15.266666666666667,1.2722222222222224
NCT02668653,1807.0,2479.0,4,https://clinicaltrials.gov/study/NCT02668653,82.63333333333334,6.886111111111112
NCT02544763,1021.0,1056.0,1,https://clinicaltrials.gov/study/NCT02544763,35.2,2.9333333333333336
NCT02746185,601.0,601.0,0,https://clinicaltrials.gov/study/NCT02746185,20.033333333333335,1.6694444444444445
NCT02027428,1312.0,1997.0,3,https://clinicaltrials.gov/study/NCT02027428,66.56666666666666,5.547222222222222
NCT02635984,761.0,761.0,1,https://clinicaltrials.gov/study/NCT02635984,25.366666666666667,2.113888888888889
NCT02279108,547.0,608.0,0,https://clinicaltrials.gov/study/NCT02279108,20.266666666666666,1.6888888888888889
NCT01259414,2192.0,2192.0,3,https://clinicaltrials.gov/study/NCT01259414,73.06666666666666,6.088888888888889
NCT02674243,1491.0,1491.0,2,https://clinicaltrials.gov/study/NCT02674243,49.7,4.141666666666667
NCT01309334,943.0,943.0,1,https://clinicaltrials.gov/study/NCT01309334,31.433333333333334,2.6194444444444445
NCT01837251,2802.0,2802.0,4,https://clinicaltrials.gov/study/NCT01837251,93.4,7.783333333333334
NCT01374971,304.0,304.0,0,https://clinicaltrials.gov/study/NCT01374971,10.133333333333333,0.8444444444444444
NCT02147197,729.0,729.0,1,https://clinicaltrials.gov/study/NCT02147197,24.3,2.025
NCT02474290,1127.0,1512.0,2,https://clinicaltrials.gov/study/NCT02474290,50.4,4.2
NCT01662869,1125.0,1125.0,1,https://clinicaltrials.gov/study/NCT01662869,37.5,3.125
NCT01808573,2009.0,2446.0,4,https://clinicaltrials.gov/study/NCT01808573,81.53333333333333,6.794444444444444
NCT01905943,1151.0,1799.0,3,https://clinicaltrials.gov/study/NCT01905943,59.96666666666667,4.997222222222223
NCT01827553,2861.0,3870.0,4,https://clinicaltrials.gov/study/NCT01827553,129.0,10.75
NCT03110783,736.0,736.0,1,https://clinicaltrials.gov/study/NCT03110783,24.533333333333335,2.0444444444444447
NCT05136898,429.0,429.0,0,https://clinicaltrials.gov/study/NCT05136898,14.3,1.1916666666666667
NCT05702957,1125.0,1186.0,2,https://clinicaltrials.gov/study/NCT05702957,39.53333333333333,3.2944444444444443
NCT02073682,792.0,792.0,1,https://clinicaltrials.gov/study/NCT02073682,26.4,2.1999999999999997
NCT02973685,1519.0,1519.0,2,https://clinicaltrials.gov/study/NCT02973685,50.63333333333333,4.219444444444444
NCT03940196,1518.0,1518.0,2,https://clinicaltrials.gov/study/NCT03940196,50.6,4.216666666666667
NCT02444897,456.0,456.0,0,https://clinicaltrials.gov/study/NCT02444897,15.2,1.2666666666666666
NCT02138422,487.0,487.0,0,https://clinicaltrials.gov/study/NCT02138422,16.233333333333334,1.3527777777777779
NCT05096468,209.0,318.0,0,https://clinicaltrials.gov/study/NCT05096468,10.6,0.8833333333333333
NCT01250379,1034.0,1489.0,2,https://clinicaltrials.gov/study/NCT01250379,49.63333333333333,4.136111111111111
NCT02581462,1507.0,1507.0,2,https://clinicaltrials.gov/study/NCT02581462,50.233333333333334,4.186111111111111
NCT01668914,1308.0,1399.0,2,https://clinicaltrials.gov/study/NCT01668914,46.63333333333333,3.886111111111111
NCT02634294,2314.0,2314.0,4,https://clinicaltrials.gov/study/NCT02634294,77.13333333333334,6.427777777777778
NCT02301156,1891.0,1891.0,3,https://clinicaltrials.gov/study/NCT02301156,63.03333333333333,5.252777777777777
NCT00939848,519.0,1249.0,2,https://clinicaltrials.gov/study/NCT00939848,41.63333333333333,3.4694444444444446
NCT04232423,486.0,578.0,0,https://clinicaltrials.gov/study/NCT04232423,19.266666666666666,1.6055555555555554
NCT01528618,1510.0,3225.0,4,https://clinicaltrials.gov/study/NCT01528618,107.5,8.958333333333334
NCT01850524,2408.0,3343.0,4,https://clinicaltrials.gov/study/NCT01850524,111.43333333333334,9.286111111111111
NCT02678572,2663.0,2752.0,4,https://clinicaltrials.gov/study/NCT02678572,91.73333333333333,7.644444444444445
NCT02756611,1022.0,2088.0,3,https://clinicaltrials.gov/study/NCT02756611,69.6,5.8
NCT03263026,1575.0,1575.0,2,https://clinicaltrials.gov/study/NCT03263026,52.5,4.375
NCT03261999,419.0,493.0,0,https://clinicaltrials.gov/study/NCT03261999,16.433333333333334,1.3694444444444445
NCT02130557,758.0,2103.0,3,https://clinicaltrials.gov/study/NCT02130557,70.1,5.841666666666666
NCT02667275,274.0,274.0,0,https://clinicaltrials.gov/study/NCT02667275,9.133333333333333,0.7611111111111111
